Frequency (GHz),xn1_sq,xn2_sq,xn1_xn2_conj
1.194,3.983364938476686e-21,-5.421108438740278e-18,(-1.9440384037195763e-20-1.858493877130232e-20j)
1.195,3.983762896766718e-21,-5.409733057572535e-18,(-1.5779714386603403e-20-3.782183577344968e-20j)
1.196,3.983219309058793e-21,-5.416586864642271e-18,(-8.123828401328508e-21-1.4281292524527652e-20j)
1.197,3.983391642887611e-21,-5.408039099986406e-18,(-2.3663495067642754e-20-3.525275305883949e-20j)
1.198,3.9833028180226835e-21,-5.408729962826949e-18,(-2.6828759248472832e-20-3.2472224884085884e-20j)
1.199,3.983745805484174e-21,-5.409511674696002e-18,(-1.4322993489726848e-20-3.5792650897186417e-20j)
1.2,3.9836904624900946e-21,-5.404248681866514e-18,(-9.925814628084455e-21-3.685502390139905e-20j)
1.201,3.983681345419212e-21,-5.405822023686718e-18,(1.980685865008849e-21-2.853734632252569e-20j)
1.202,3.984031449639152e-21,-5.4006481757015234e-18,(1.2184398329190372e-20-3.7676169543218864e-21j)
1.203,3.984140937346236e-21,-5.400307360814783e-18,(-8.718614110358033e-21+3.3209150396814875e-21j)
1.204,3.983942085422573e-21,-5.396830087808929e-18,(-3.7504943217747296e-20-1.4871749277710465e-20j)
1.205,3.984219361824544e-21,-5.400434193419364e-18,(-1.8337642097786216e-20-3.88194600705714e-20j)
1.206,3.984366390532078e-21,-5.394922783358893e-18,(-2.7738997622683417e-20-1.5326880610302455e-20j)
1.207,3.984466283122314e-21,-5.399510667653054e-18,(-1.7855123339051277e-20+8.226224950662832e-21j)
1.208,3.984673165091821e-21,-5.396764922824631e-18,(7.149833302278731e-21+8.75053264131277e-21j)
1.209,3.9852179188807156e-21,-5.396121292066628e-18,(2.051045867818782e-20-1.897139262483825e-20j)
1.21,3.985214940541855e-21,-5.396844088193215e-18,(-1.2513508920391714e-20-2.766264805382603e-20j)
1.211,3.985253165393137e-21,-5.395628058640909e-18,(-1.7420886355521693e-20-4.544393509584322e-20j)
1.212,3.985101086118581e-21,-5.393322761563357e-18,(-8.417434240901344e-21-4.046969209362539e-20j)
1.213,3.985811628415728e-21,-5.39530599274436e-18,(-2.1950872383070842e-20-2.770598687771032e-20j)
1.214,3.985674742935266e-21,-5.395143982846406e-18,(-1.658848527275071e-20-3.628258636333617e-20j)
1.215,3.9861559590766834e-21,-5.3912290303238386e-18,(-1.3190548730575562e-20-3.277068728761744e-20j)
1.216,3.985897867746368e-21,-5.391038418585231e-18,(-1.2456392854865179e-20-3.6609747916028894e-20j)
1.217,3.986367313608895e-21,-5.388252730347888e-18,(-1.8605229676244644e-20-3.469278093058456e-20j)
1.218,3.986602250284327e-21,-5.390940048584684e-18,(-1.0601354196269437e-20-1.8573796678164606e-20j)
1.219,3.986917639004002e-21,-5.3874592145063925e-18,(-1.558948945858059e-20-2.96848893204349e-20j)
1.22,3.987795806282477e-21,-5.384645792995773e-18,(-1.5253193174936737e-20-3.683252022141796e-20j)
1.221,3.987384704330652e-21,-5.387624322079591e-18,(-1.1670419338083952e-20-2.987238103084638e-20j)
1.222,3.987147690320507e-21,-5.382541108961286e-18,(-2.573229335811775e-20-2.9457876238289656e-20j)
1.223,3.987879768822201e-21,-5.387852863444375e-18,(-9.872129985118517e-21-2.5497390038051534e-20j)
1.224,3.988201213137719e-21,-5.3849088875588696e-18,(-1.3104251764449743e-20-4.261921143213853e-20j)
1.225,3.9884258924259726e-21,-5.380642120958325e-18,(-2.110508008838725e-20-3.453778720989504e-20j)
1.226,3.98880680035521e-21,-5.3792119185303555e-18,(-1.460166799256782e-21-2.814862639064313e-20j)
1.227,3.9890948477008274e-21,-5.379790301341418e-18,(-1.6762071062916908e-20-3.393205328964221e-20j)
1.228,3.989519208772277e-21,-5.381015689399152e-18,(-9.841100273659813e-21-3.5705107185458157e-20j)
1.229,3.9895676006342705e-21,-5.380807224241482e-18,(-2.4149355583094772e-20-2.690675226147288e-20j)
1.23,3.9899545078525835e-21,-5.375462143759753e-18,(-1.4532559619241768e-20-3.5831934095154523e-20j)
1.231,3.990185014873519e-21,-5.380905364581012e-18,(-2.0982422189280065e-20-3.555810235040306e-20j)
1.232,3.990165663928891e-21,-5.38591205409036e-18,(-1.6930108759740304e-20-2.800410072837377e-20j)
1.233,3.99054671159639e-21,-5.374833305504606e-18,(-1.3823571110875416e-20-3.2425443251516125e-20j)
1.234,3.9911955974126284e-21,-5.376011341544136e-18,(-1.9211923209673856e-20-2.785217585586644e-20j)
1.235,3.991597558944632e-21,-5.378630390227924e-18,(-1.2625394981138605e-20-2.9955589665809666e-20j)
1.236,3.991464177276139e-21,-5.370074312589758e-18,(-1.3893536264369412e-20-2.9426893072698756e-20j)
1.237,3.991944619917874e-21,-5.3731138200640835e-18,(-2.7088301338996805e-20-3.427027150396703e-20j)
1.238,3.992428930188667e-21,-5.364108105548124e-18,(-1.74909580396478e-20-3.503938541945565e-20j)
1.239,3.992510768310299e-21,-5.371820952564288e-18,(-8.034863341739656e-21-3.047782460518787e-20j)
1.24,3.993051447653378e-21,-5.366428995077515e-18,(-1.253143451920747e-20-3.693575660336192e-20j)
1.241,3.993549009699856e-21,-5.364534204859268e-18,(-1.0773119560657787e-20-3.589313441938802e-20j)
1.242,3.9940984461526066e-21,-5.359499953078912e-18,(-1.610773324278681e-20-2.5545040552426198e-20j)
1.243,3.994070097374998e-21,-5.364462679497126e-18,(-1.680374479874474e-20-2.8126177852008743e-20j)
1.244,3.994616240469242e-21,-5.3572899325885695e-18,(-1.0646063857251688e-20-2.998726323645919e-20j)
1.245,3.994473064998471e-21,-5.363909295026896e-18,(-5.9961182567003184e-21-2.921861046289021e-20j)
1.246,3.995417522408978e-21,-5.358195923021946e-18,(9.15758939382273e-21-2.2621153209718977e-20j)
1.247,3.9960181825130804e-21,-5.3530499889812365e-18,(1.756056638743394e-20-5.613137904824104e-21j)
1.248,3.9957463396617315e-21,-5.352553775048783e-18,(-2.1313154076186067e-20+7.259624984632038e-21j)
1.249,3.9964637997917e-21,-5.3566973305306224e-18,(-2.1473645713511096e-20-8.00116362320674e-21j)
1.25,3.996891316861048e-21,-5.3516472132908976e-18,(-1.0604150913438453e-20-3.1702097886892134e-20j)
1.251,3.99742785568778e-21,-5.3512727822971526e-18,(-1.838754913329046e-20+3.710429306333559e-21j)
1.252,3.997897604289218e-21,-5.342402490018914e-18,(-1.1360713287813047e-20+5.510280239291182e-21j)
1.253,3.998111867970412e-21,-5.349186893709117e-18,(7.65410590278685e-21-1.1373058274773984e-20j)
